date,state,district,pincode,demo_age_5_17,demo_age_17_
01-05-2025,Madhya Pradesh,Bhopal,462016,47,392
01-05-2025,Gujarat,Banaskantha,385535,351,1903
01-05-2025,Delhi,Central Delhi,110055,132,1325
01-05-2025,Tamil Nadu,Tiruchirappalli,621314,52,334
01-05-2025,Haryana,Karnal,132054,23,166
01-05-2025,West Bengal,South 24 Parganas,743376,132,1361
01-05-2025,Uttar Pradesh,Gautam Buddha Nagar,203207,309,2321
01-05-2025,Maharashtra,Chandrapur,441222,11,95
01-05-2025,Madhya Pradesh,Indore,453771,93,672
01-05-2025,Haryana,Kurukshetra,136135,96,627
01-05-2025,West Bengal,Birbhum,731204,82,925
01-05-2025,Punjab,Ludhiana,141008,197,2619
01-05-2025,Chhattisgarh,Korba,495445,84,1052
01-05-2025,Uttarakhand,Dehradun,248001,331,3620
01-05-2025,Punjab,Ludhiana,141003,102,1846
01-05-2025,Andhra Pradesh,Chittoor,517425,365,1466
01-05-2025,Madhya Pradesh,Vidisha,464224,188,558
01-05-2025,Madhya Pradesh,Dewas,455223,38,297
01-05-2025,Delhi,West Delhi,110087,89,753
01-05-2025,Madhya Pradesh,Chhindwara,480001,396,1588
01-05-2025,Delhi,South West Delhi,110037,364,1407
01-05-2025,Rajasthan,Alwar,301001,298,2816
01-05-2025,Andhra Pradesh,Visakhapatnam,530017,134,897
01-05-2025,West Bengal,Murshidabad,742201,65,833
01-05-2025,Karnataka,Haveri,581115,197,918
01-05-2025,Andhra Pradesh,N. T. R,521108,49,329
01-05-2025,Chhattisgarh,Balod,491226,72,815
01-05-2025,Madhya Pradesh,Mandla,481885,188,714
01-05-2025,Madhya Pradesh,Dewas,455118,99,519
01-05-2025,Karnataka,Bengaluru,560047,116,505
01-05-2025,Andhra Pradesh,West Godavari,534260,124,832
01-05-2025,Madhya Pradesh,Shahdol,484224,63,332
01-05-2025,Madhya Pradesh,Bhopal,462022,104,1102
01-05-2025,Punjab,Ferozepur,142047,37,339
01-05-2025,Madhya Pradesh,Jabalpur,482001,323,2935
01-05-2025,Madhya Pradesh,Indore,452001,336,2461
01-05-2025,Haryana,Bhiwani,127021,195,1100
01-05-2025,Madhya Pradesh,Mandsaur,458001,96,392
01-05-2025,Andhra Pradesh,N. T. R,521175,38,296
01-05-2025,Andhra Pradesh,Kurnool,518216,51,277
01-05-2025,Andhra Pradesh,Srikakulam,532407,204,702
01-05-2025,Karnataka,Chikkaballapur,562105,101,754
01-05-2025,Madhya Pradesh,Ratlam,457001,398,2570
01-05-2025,Andhra Pradesh,Annamayya,517390,51,160
01-05-2025,Madhya Pradesh,Khargone,451225,32,122
01-05-2025,Uttarakhand,Udham Singh Nagar,263148,678,3075
01-05-2025,Haryana,Bhiwani,127201,41,351
01-05-2025,Punjab,Patiala,147001,540,3565
01-05-2025,Madhya Pradesh,Satna,485446,163,876
01-05-2025,Telangana,Hyderabad,500045,125,557
01-05-2025,Mizoram,Kolasib,796081,76,414
01-05-2025,Haryana,Jind,126116,191,1233
01-05-2025,Madhya Pradesh,Indore,453115,33,280
01-05-2025,Madhya Pradesh,Barwani,451660,61,396
01-05-2025,Gujarat,Surat,395017,131,851
01-05-2025,Uttar Pradesh,Bijnor,246725,231,2772
01-05-2025,Madhya Pradesh,Mandsaur,458667,113,324
01-05-2025,Andhra Pradesh,Annamayya,517325,402,1773
01-05-2025,Karnataka,Davangere,577004,275,636
01-05-2025,Maharashtra,Gadchiroli,441209,36,237
01-05-2025,Karnataka,Bengaluru,560096,97,353
01-05-2025,Maharashtra,Aurangabad,431001,322,2292
01-05-2025,Andhra Pradesh,Srikakulam,532455,127,349
01-05-2025,Madhya Pradesh,Satna,485226,131,772
01-05-2025,Haryana,Gurgaon,122503,83,476
01-05-2025,Telangana,Kamareddy,503111,87,486
01-05-2025,Gujarat,Jamnagar,361001,129,1984
01-05-2025,Karnataka,Hassan,573201,185,770
01-05-2025,Tamil Nadu,Tiruvallur,600099,130,1030
01-05-2025,Madhya Pradesh,Bhopal,462010,106,675
01-05-2025,Karnataka,Ramanagar,562160,152,621
01-05-2025,Haryana,Yamuna Nagar,133204,28,195
01-05-2025,Himachal Pradesh,Chamba,176314,48,194
01-05-2025,Jammu and Kashmir,Baramula,193121,89,643
01-05-2025,Jammu and Kashmir,Doda,182147,15,110
01-05-2025,Chhattisgarh,Raipur,493111,68,576
01-05-2025,Haryana,Kaithal,136035,25,231
01-05-2025,Andhra Pradesh,Krishna,521137,92,725
01-05-2025,Rajasthan,Kota,324004,58,416
01-05-2025,Andhra Pradesh,Guntur,522004,134,838
01-05-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524004,139,787
01-05-2025,Jammu and Kashmir,Anantnag,192202,132,550
01-05-2025,Haryana,Bhiwani,127040,38,226
01-05-2025,Karnataka,Bengaluru,560076,173,1095
01-05-2025,Telangana,Hyderabad,500064,149,874
01-05-2025,Karnataka,Ramanagar,562117,181,1902
01-05-2025,Haryana,Sirsa,125102,49,438
01-05-2025,Chhattisgarh,Mahasamund,493445,151,1381
01-05-2025,Madhya Pradesh,Dindori,481882,218,776
01-05-2025,West Bengal,Murshidabad,742302,92,869
01-05-2025,Madhya Pradesh,Dhar,454446,364,2119
01-05-2025,Madhya Pradesh,Ashok Nagar,473335,150,936
01-05-2025,Chhattisgarh,Mungeli,495334,138,1919
01-05-2025,Punjab,Bathinda,151001,205,2125
01-05-2025,Andhra Pradesh,N. T. R,520015,92,642
01-05-2025,Punjab,Patiala,140401,272,1141
01-05-2025,Madhya Pradesh,Neemuch,458441,235,1595
01-05-2025,Karnataka,Bengaluru,560087,113,571
01-05-2025,Andhra Pradesh,East Godavari,533126,121,614
01-05-2025,Haryana,Mewat,122107,194,1060
01-05-2025,Andhra Pradesh,Kakinada,533437,76,646
01-05-2025,Maharashtra,Chandrapur,442903,22,276
01-05-2025,Andhra Pradesh,Guntur,522201,140,954
01-05-2025,Tamil Nadu,Coimbatore,641006,104,830
01-05-2025,Chhattisgarh,Rajnandgaon,491661,97,697
01-05-2025,Madhya Pradesh,Neemuch,458110,122,1011
01-05-2025,Andhra Pradesh,Sri Sathya Sai,515212,33,165
01-05-2025,Madhya Pradesh,Satna,485115,102,488
01-05-2025,Jammu and Kashmir,Pulwama,192301,158,748
01-05-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,523105,49,270
01-05-2025,Andhra Pradesh,West Godavari,534134,76,433
01-05-2025,Chhattisgarh,Bastar,494442,162,1256
01-05-2025,Tamil Nadu,Viluppuram,605602,65,457
01-05-2025,Andhra Pradesh,Kurnool,518348,53,327
01-05-2025,Madhya Pradesh,Ujjain,456001,190,941
01-05-2025,Madhya Pradesh,Guna,473101,101,679
01-05-2025,West Bengal,Puruliya,723212,43,417
01-05-2025,Madhya Pradesh,Sidhi,486775,84,622
01-05-2025,Andhra Pradesh,Parvathipuram Manyam,535591,20,100
01-05-2025,Andhra Pradesh,Guntur,522003,132,797
01-05-2025,Haryana,Jind,126114,31,190
01-05-2025,Andhra Pradesh,Kurnool,518347,108,453
01-05-2025,Karnataka,Bidar,585401,156,590
01-05-2025,Uttar Pradesh,Jhansi,284002,159,1420
01-05-2025,Haryana,Fatehabad,125120,72,555
01-05-2025,Madhya Pradesh,Bhopal,462001,264,1709
01-05-2025,Tamil Nadu,Coimbatore,641032,26,242
01-05-2025,Gujarat,Bhavnagar,364290,189,1683
01-05-2025,Madhya Pradesh,Jhabua,457777,180,1095
01-05-2025,Madhya Pradesh,Dhar,454660,80,509
01-05-2025,Andhra Pradesh,West Godavari,534281,56,459
