date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-05-2025,Meghalaya,West Garo Hills,794101,17,45,27
01-05-2025,Maharashtra,Nandurbar,425414,181,94,11
01-05-2025,West Bengal,Kolkata,700014,90,78,10
01-05-2025,Assam,Lakhimpur,787052,40,31,19
01-05-2025,Punjab,Hoshiarpur,146001,197,48,18
01-05-2025,Karnataka,Bengaluru,560048,48,51,27
01-05-2025,Gujarat,Devbhumi Dwarka,361310,36,13,13
01-05-2025,Gujarat,Dahod,389151,162,156,185
01-05-2025,Gujarat,Ahmedabad,380001,171,61,13
01-05-2025,Assam,Tinsukia,786125,34,45,26
01-05-2025,Maharashtra,Nagpur,440034,166,18,12
01-05-2025,Assam,Golaghat,785612,146,160,54
01-05-2025,Assam,Kamrup,781121,27,12,12
01-05-2025,Uttar Pradesh,Kanpur Nagar,208010,149,93,11
01-05-2025,Bihar,West Champaran,845106,260,257,14
01-05-2025,Uttar Pradesh,Banda,210125,142,180,11
01-05-2025,Meghalaya,South West Khasi Hills,793119,19,49,34
01-05-2025,Bihar,Bhagalpur,853201,137,95,14
01-05-2025,Chhattisgarh,Bijapur,494447,87,103,48
01-05-2025,Meghalaya,East Jaintia Hills,793200,93,166,174
01-05-2025,Karnataka,Bengaluru,560091,163,46,17
01-05-2025,Gujarat,Banaskantha,385566,71,37,19
01-05-2025,Gujarat,Rajkot,360004,215,50,40
01-05-2025,Gujarat,Dahod,389175,55,21,10
01-05-2025,Uttar Pradesh,Kanpur Nagar,209210,116,85,12
01-05-2025,Meghalaya,East Khasi Hills,793108,41,51,70
01-05-2025,Gujarat,Patan,384240,59,13,13
01-05-2025,West Bengal,Darjeeling,734105,10,17,22
01-05-2025,Madhya Pradesh,Barwani,451447,431,204,20
01-05-2025,Assam,Tinsukia,786181,31,16,21
01-05-2025,Meghalaya,Ri Bhoi,793103,57,140,120
01-05-2025,Uttar Pradesh,Agra,282006,380,273,16
01-05-2025,Assam,Sibsagar,785640,33,20,27
01-05-2025,Delhi,East Delhi,110051,185,67,19
01-05-2025,Meghalaya,West Garo Hills,794105,71,54,65
01-05-2025,Assam,Dibrugarh,786001,43,18,30
01-05-2025,Assam,Karimganj,788709,34,22,43
01-05-2025,Punjab,Kapurthala,144401,113,40,15
01-05-2025,Maharashtra,Mumbai Suburban,400095,86,49,18
01-05-2025,Uttar Pradesh,Bahraich,271855,426,391,40
01-05-2025,Gujarat,Anand,388001,111,22,10
01-05-2025,Meghalaya,West Khasi Hills,793120,167,215,379
01-05-2025,Gujarat,The Dangs,394710,114,17,14
01-05-2025,Bihar,West Champaran,845438,474,701,27
01-05-2025,Assam,Goalpara,783132,50,17,13
01-05-2025,Assam,Tinsukia,786171,53,44,27
01-05-2025,Delhi,East Delhi,110092,485,213,36
01-05-2025,Maharashtra,Thane,400612,381,264,17
01-05-2025,Gujarat,Banaskantha,385120,124,115,18
01-05-2025,Maharashtra,Mumbai Suburban,400097,66,40,26
01-05-2025,Madhya Pradesh,Dewas,455001,518,87,17
