date,state,district,pincode,bio_age_5_17,bio_age_17_
01-04-2025,Gujarat,Valsad,396051,331,407
01-04-2025,Maharashtra,Palghar,401404,330,272
01-04-2025,Rajasthan,Jaipur,302019,220,463
01-04-2025,Madhya Pradesh,Betul,460440,804,919
01-04-2025,Himachal Pradesh,Kangra,176021,51,75
01-04-2025,Pondicherry,Pondicherry,605110,37,176
01-04-2025,Orissa,Khordha,752102,12,74
01-04-2025,Karnataka,Kolar,563136,104,105
01-04-2025,Jharkhand,Gumla,835229,446,802
01-04-2025,Uttarakhand,Pithoragarh,262531,39,63
01-04-2025,Andhra Pradesh,Ananthapuramu,515711,347,15
01-04-2025,Uttar Pradesh,Mau,121705,137,55
01-04-2025,Uttar Pradesh,Hardoi,241121,462,139
01-04-2025,West Bengal,Barddhaman,713212,119,158
01-04-2025,Punjab,Ludhiana,141126,169,304
01-04-2025,Tamil Nadu,Villupuram,604152,99,30
01-04-2025,Bihar,Munger,813201,236,261
01-04-2025,Gujarat,Anand,387220,24,66
01-04-2025,Tamil Nadu,Villupuram,605101,32,18
01-04-2025,Karnataka,Bellary,583239,28,22
01-04-2025,Madhya Pradesh,Ashok Nagar,473101,17,13
01-04-2025,Tamil Nadu,Salem,637103,136,113
01-04-2025,Uttar Pradesh,Kanpur Nagar,208008,19,41
01-04-2025,Uttar Pradesh,Azamgarh,224166,42,27
01-04-2025,Tamil Nadu,Coimbatore,641202,15,39
01-04-2025,Bihar,Muzaffarpur,843144,42,50
01-04-2025,Tamil Nadu,Kanyakumari,629502,13,21
01-04-2025,Haryana,Kaithal,136034,393,564
01-04-2025,Karnataka,Belgaum,591126,133,182
01-04-2025,Goa,North Goa,403512,148,198
01-04-2025,West Bengal,South 24 Parganas,743332,79,74
01-04-2025,Odisha,Ganjam,761055,113,156
01-04-2025,Tamil Nadu,Dindigul,624618,81,156
01-04-2025,Haryana,Karnal,132114,584,1231
01-04-2025,Gujarat,Amreli,365601,358,310
01-04-2025,Madhya Pradesh,Sagar,470441,849,731
01-04-2025,Maharashtra,Satara,415002,353,485
01-04-2025,Bihar,Kaimur (Bhabua),821106,860,680
01-04-2025,Maharashtra,Akola,444002,278,583
01-04-2025,Karnataka,Vijayapura,586102,64,38
01-04-2025,Bihar,Gopalganj,841407,185,211
01-04-2025,Andhra Pradesh,Prakasam,523368,145,39
01-04-2025,Odisha,Malkangiri,764051,453,173
01-04-2025,Kerala,Palakkad,678582,250,339
01-04-2025,Karnataka,Koppal,583279,135,106
01-04-2025,Karnataka,Haveri *,581115,11,64
01-04-2025,Telangana,Hyderabad,500029,88,155
01-04-2025,Telangana,Mancherial,504302,17,23
01-04-2025,Madhya Pradesh,Chhindwara,480108,164,198
01-04-2025,Kerala,Thrissur,680520,17,17
01-04-2025,Maharashtra,Jalgaon,424103,127,295
01-04-2025,Andhra Pradesh,Prakasam,523104,113,37
01-04-2025,Uttar Pradesh,Ballia,221717,226,292
01-04-2025,Maharashtra,Mumbai,400019,43,182
01-04-2025,Andhra Pradesh,Rangareddi,500090,18,47
01-04-2025,Tamil Nadu,Cuddalore,607001,387,216
01-04-2025,Uttar Pradesh,Jaunpur,222145,165,182
01-04-2025,Rajasthan,Jhalawar,326501,60,62
01-04-2025,Punjab,Ludhiana,141107,42,114
01-04-2025,Gujarat,Rajkot,363670,16,146
01-04-2025,Rajasthan,Chittorgarh,312206,45,41
01-04-2025,Gujarat,Surat,394315,43,53
01-04-2025,Rajasthan,Rajsamand,313207,28,45
01-04-2025,Jharkhand,Ramgarh,829143,79,78
01-04-2025,Gujarat,Ahmedabad,382421,30,38
01-04-2025,Andhra Pradesh,Adilabad,504294,15,126
01-04-2025,Assam,Cachar,788108,21,10
01-04-2025,Telangana,Peddapalli,505208,18,23
01-04-2025,West Bengal,Nadia,741253,23,42
01-04-2025,Assam,Nalbari,781337,50,14
01-04-2025,West Bengal,South 24 Parganas,743357,140,111
01-04-2025,Uttar Pradesh,Kaushambi,212217,1687,333
01-04-2025,Kerala,Malappuram,676541,98,107
01-04-2025,Bihar,West Champaran,845453,643,668
01-04-2025,Gujarat,Ahmedabad,380028,590,974
01-04-2025,Uttar Pradesh,Agra,283111,1392,344
01-04-2025,Tamil Nadu,Tirunelveli,627101,43,105
01-04-2025,Gujarat,Vadodara,391165,353,990
01-04-2025,Karnataka,Chikkamagaluru,577139,28,16
01-04-2025,Maharashtra,Yavatmal,445302,259,957
01-04-2025,Assam,Kamrup,781102,654,104
01-04-2025,Gujarat,Rajkot,360360,83,76
01-04-2025,Karnataka,Tumakuru,572103,48,51
01-04-2025,Karnataka,Shimoga,577205,45,75
01-04-2025,Maharashtra,Thane,401201,25,289
01-04-2025,West Bengal,Murshidabad,742177,16,26
01-04-2025,Karnataka,Hassan,573162,21,13
01-04-2025,Assam,Dibrugarh,786621,43,15
01-04-2025,Jammu and Kashmir,Rajouri,185156,60,80
01-04-2025,Tamil Nadu,Thiruvarur,614716,26,31
01-04-2025,Tamil Nadu,Thiruvarur,610106,14,27
01-04-2025,Tamil Nadu,Tiruchirappalli,621211,114,252
01-04-2025,Maharashtra,Nagpur,441203,226,1446
01-04-2025,Gujarat,Kheda,388265,14,87
01-04-2025,Himachal Pradesh,Kangra,176095,16,21
01-04-2025,Kerala,Palakkad,679102,40,77
01-04-2025,Gujarat,Bhavnagar,364280,266,252
01-04-2025,Maharashtra,Kolhapur,416211,335,347
01-04-2025,Kerala,Alappuzha,690512,20,38
01-04-2025,Rajasthan,Churu,331403,598,735
01-04-2025,Haryana,Sonipat,131027,167,184
01-04-2025,Maharashtra,Palghar,401601,58,35
01-04-2025,Punjab,Tarn Taran,143305,187,405
01-04-2025,Karnataka,Dharwad,580004,83,95
01-04-2025,Uttar Pradesh,Amroha,244255,627,134
01-04-2025,Odisha,Cuttack,754009,189,231
01-04-2025,Karnataka,Tumakuru,572219,33,23
01-04-2025,Kerala,Thiruvananthapuram,695145,37,36
01-04-2025,Karnataka,Bagalkot,587113,99,121
01-04-2025,Tamil Nadu,Salem,636002,209,326
01-04-2025,Tamil Nadu,Villupuram,606208,79,38
01-04-2025,Uttar Pradesh,Sonbhadra,231226,433,193
01-04-2025,Tripura,Gomati,799013,206,38
01-04-2025,Bihar,Saran,841215,192,200
01-04-2025,Kerala,Thiruvananthapuram,695605,88,143
01-04-2025,Kerala,Kottayam,686533,46,110
01-04-2025,Maharashtra,Ahmadnagar,422620,88,168
01-04-2025,Haryana,Bhiwani,127042,58,65
01-04-2025,Gujarat,Valsad,396020,69,94
01-04-2025,Odisha,JAJPUR,755001,25,26
01-04-2025,Tamil Nadu,Coimbatore,642127,90,66
01-04-2025,Uttar Pradesh,Sultanpur,228118,68,65
01-04-2025,Gujarat,Rajkot,360330,61,97
01-04-2025,Andhra Pradesh,Cuddapah,516502,182,55
01-04-2025,Kerala,Kannur,670010,46,75
01-04-2025,Maharashtra,Nagpur,440007,25,45
01-04-2025,Jharkhand,Garhwa,822127,56,46
01-04-2025,Gujarat,Kachchh,370425,27,22
01-04-2025,Nagaland,Kohima,797005,77,250
01-04-2025,Assam,Biswanath,784179,52,31
01-04-2025,West Bengal,Barddhaman,713217,17,18
01-04-2025,Orissa,Bhadrak,756111,12,21
01-04-2025,Maharashtra,Solapur,413310,206,180
01-04-2025,Karnataka,Vijayapura,586203,135,103
01-04-2025,Gujarat,Anand,388580,190,139
01-04-2025,Maharashtra,Nashik,422003,755,1820
01-04-2025,Tamil Nadu,Krishnagiri,635102,138,160
01-04-2025,Maharashtra,Yavatmal,445103,270,558
01-04-2025,West Bengal,Barddhaman,713409,80,94
01-04-2025,Punjab,Ludhiana,141120,144,147
01-04-2025,Karnataka,Bengaluru,560085,348,315
01-04-2025,Karnataka,Bagalkot,587117,98,92
01-04-2025,Bihar,Begusarai,851128,505,390
01-04-2025,Kerala,Thrissur,680302,62,94
01-04-2025,Bihar,Aurangabad,824202,607,448
01-04-2025,Kerala,Malappuram,673641,316,330
01-04-2025,Maharashtra,Nashik,422502,116,276
01-04-2025,Jammu and Kashmir,Kathua,184206,175,229
01-04-2025,West Bengal,Howrah,711408,56,75
01-04-2025,Chhattisgarh,Balod,491661,22,67
01-04-2025,Maharashtra,Thane,421204,280,668
01-04-2025,Madhya Pradesh,Ashok Nagar,473443,1943,1082
01-04-2025,Punjab,Jalandhar,144026,128,238
01-04-2025,Kerala,Thrissur,680641,53,61
01-04-2025,Uttar Pradesh,Azamgarh,276131,210,149
01-04-2025,Karnataka,Dharwad,581105,113,100
01-04-2025,Uttar Pradesh,Mirzapur,231307,181,87
01-04-2025,Rajasthan,Jalor,343021,53,91
01-04-2025,Odisha,Puri,752013,79,85
01-04-2025,Uttar Pradesh,Faizabad,225408,552,132
01-04-2025,Odisha,Ganjam,761031,135,160
01-04-2025,Uttar Pradesh,Ballia,277302,151,156
01-04-2025,Andhra Pradesh,Adilabad,504109,13,22
01-04-2025,Andhra Pradesh,Krishna,521104,96,41
01-04-2025,West Bengal,Bankura,722202,59,67
01-04-2025,Karnataka,Belgaum,591101,53,64
01-04-2025,Mizoram,Kolasib,796070,249,117
01-04-2025,Mizoram,Aizawl,796008,228,79
01-04-2025,Chhattisgarh,Korba,495453,59,121
01-04-2025,Meghalaya,East Khasi Hills,793015,132,245
01-04-2025,Jharkhand,Gumla,835201,15,46
01-04-2025,Tamil Nadu,Ramanathapuram,623401,30,61
01-04-2025,Arunachal Pradesh,Upper Siang,791002,90,45
01-04-2025,Andhra Pradesh,West Godavari,507114,504,242
01-04-2025,Andhra Pradesh,Ananthapur,515803,168,22
01-04-2025,Andhra Pradesh,Visakhapatnam,530013,391,212
01-04-2025,Karnataka,Gulbarga,585101,66,115
01-04-2025,West Bengal,Purulia,723101,24,75
01-04-2025,Madhya Pradesh,Singrauli,486881,2519,781
01-04-2025,Karnataka,Davangere,577553,77,151
01-04-2025,Karnataka,Bengaluru,560032,485,471
01-04-2025,Karnataka,Bengaluru,562123,154,81
01-04-2025,Uttar Pradesh,Gonda,271001,832,590
01-04-2025,Gujarat,Mahesana,384001,364,577
01-04-2025,West Bengal,Murshidabad,742402,88,73
01-04-2025,Assam,Nagaon,782120,504,183
01-04-2025,Bihar,Buxar,802118,75,108
01-04-2025,Kerala,Malappuram,676507,113,142
01-04-2025,Uttar Pradesh,Lalitpur,284406,203,414
01-04-2025,Rajasthan,Bikaner,334004,152,371
01-04-2025,Karnataka,Mysore,570026,36,123
01-04-2025,West Bengal,Barddhaman,713421,54,95
