date,state,district,pincode,demo_age_5_17,demo_age_17_
01-04-2025,Haryana,Jind,126112,70,544
01-04-2025,Rajasthan,Kota,324001,169,1028
01-04-2025,Andhra Pradesh,Visakhapatnam,530027,67,495
01-04-2025,Rajasthan,Jaipur,302015,38,456
01-04-2025,Tamil Nadu,Kancheepuram,631501,47,640
01-04-2025,Telangana,K.v. Rangareddy,500049,165,1027
01-04-2025,Uttarakhand,Udham Singh Nagar,263152,78,873
01-04-2025,Delhi,North West Delhi,110039,640,2340
01-04-2025,Haryana,Sonipat,131024,19,161
01-04-2025,Karnataka,Ballari,583102,62,307
01-04-2025,Rajasthan,Ajmer,305001,407,2851
01-04-2025,Delhi,South Delhi,110065,127,1009
01-04-2025,West Bengal,South 24 Parganas,743355,100,1661
01-04-2025,Andhra Pradesh,Ananthapuramu,515001,171,829
01-04-2025,Rajasthan,Bundi,323801,32,525
01-04-2025,Karnataka,Hassan,573116,43,306
01-04-2025,Tamil Nadu,Tiruppur,641664,83,648
01-04-2025,Karnataka,Bengaluru,560067,138,766
01-04-2025,Haryana,Rohtak,124412,10,38
01-04-2025,Uttarakhand,Champawat,262524,86,649
01-04-2025,Karnataka,Kalaburagi,585101,111,281
01-04-2025,Chandigarh,Chandigarh,160002,246,641
01-04-2025,Madhya Pradesh,Shahdol,484770,132,553
01-04-2025,Haryana,Gurgaon,122001,867,5452
01-04-2025,Himachal Pradesh,Una,174315,13,113
01-04-2025,Delhi,South Delhi,110074,301,1805
01-04-2025,Haryana,Rohtak,124112,39,254
01-04-2025,Punjab,Patiala,147101,70,948
01-04-2025,Karnataka,Kalaburagi,585102,127,426
01-04-2025,Haryana,Sirsa,125055,250,1832
01-04-2025,Uttarakhand,Dehradun,248140,138,963
01-04-2025,Madhya Pradesh,Ujjain,456001,205,812
01-04-2025,Andhra Pradesh,Guntur,522503,112,937
01-04-2025,Haryana,Mewat,122508,225,2072
01-04-2025,Andhra Pradesh,Chittoor,517247,225,1103
01-04-2025,Madhya Pradesh,Sehore,466115,103,360
01-04-2025,Delhi,North West Delhi,110086,1938,11133
01-04-2025,West Bengal,Malda,732125,264,2419
01-04-2025,Madhya Pradesh,Gwalior,474006,241,1547
01-04-2025,Jammu and Kashmir,Pulwama,192301,217,1124
01-04-2025,Himachal Pradesh,Una,174303,61,346
01-04-2025,Madhya Pradesh,Umaria,484665,127,560
01-04-2025,Madhya Pradesh,Mandla,481661,386,1078
01-04-2025,Tamil Nadu,Tiruvallur,600053,117,1244
01-04-2025,Telangana,Suryapet,508213,95,811
01-04-2025,Rajasthan,Jodhpur,342001,300,2923
01-04-2025,Haryana,Faridabad,121003,381,2126
01-04-2025,Delhi,North West Delhi,110009,106,1541
01-04-2025,Rajasthan,Jhalawar,326038,76,588
01-04-2025,Karnataka,Shivamogga,577301,64,399
01-04-2025,Karnataka,Dharwad,580023,140,554
01-04-2025,Haryana,Jhajjar,124507,469,2115
01-04-2025,Rajasthan,Churu,331507,171,770
01-04-2025,Rajasthan,Udaipur,313002,51,467
01-04-2025,Maharashtra,Aurangabad,431001,261,1965
01-04-2025,Chandigarh,Chandigarh,160102,382,697
01-04-2025,Haryana,Gurgaon,122503,67,421
01-04-2025,Uttar Pradesh,Firozabad,283203,651,8545
01-04-2025,Telangana,Hyderabad,500064,139,986
01-04-2025,Andhra Pradesh,Visakhapatnam,530016,107,752
01-04-2025,Jammu and Kashmir,Ganderbal,191202,64,322
01-04-2025,Delhi,East Delhi,110096,2262,5956
01-04-2025,Punjab,Gurdaspur,143505,106,1760
01-04-2025,Karnataka,Hassan,573201,117,672
01-04-2025,Chhattisgarh,Mahasamund,493445,123,1706
01-04-2025,Rajasthan,Baran,325205,195,1381
01-04-2025,Andhra Pradesh,Sri Sathya Sai,515671,138,388
01-04-2025,Karnataka,Kalaburagi,585104,200,681
01-04-2025,Chhattisgarh,Surguja,497001,210,2060
01-04-2025,Chhattisgarh,Raipur,492013,119,814
01-04-2025,Andhra Pradesh,Guntur,522005,42,375
01-04-2025,Tamil Nadu,Sivaganga,630611,29,354
01-04-2025,Gujarat,Rajkot,360001,100,1352
01-04-2025,Madhya Pradesh,Balaghat,481226,184,633
01-04-2025,Haryana,Yamuna Nagar,135102,71,502
01-04-2025,Tamil Nadu,Karur,639001,26,257
01-04-2025,Tamil Nadu,Madurai,625012,116,656
01-04-2025,Rajasthan,Jaipur,302020,152,1479
01-04-2025,Delhi,Shahdara,110032,429,2068
01-04-2025,Jammu and Kashmir,Kathua,184205,18,126
01-04-2025,Rajasthan,Nagaur,341001,289,2288
01-04-2025,Chhattisgarh,Surguja,497101,103,1032
01-04-2025,Madhya Pradesh,Satna,485001,279,1818
01-04-2025,Telangana,Sangareddy,502319,115,581
01-04-2025,Madhya Pradesh,Dhar,454001,372,1804
01-04-2025,Madhya Pradesh,Betul,460110,208,564
01-04-2025,Jammu and Kashmir,Ganderbal,191131,96,606
01-04-2025,Karnataka,Dakshina Kannada,575020,50,144
01-04-2025,Uttar Pradesh,Rampur,244901,756,5993
01-04-2025,Rajasthan,Jodhpur,342024,31,495
01-04-2025,Jammu and Kashmir,Budgam,191113,215,368
01-04-2025,Karnataka,Belagavi,590016,91,502
01-04-2025,Haryana,Sirsa,125104,84,667
01-04-2025,West Bengal,Murshidabad,742304,93,1167
01-04-2025,Karnataka,Tumakuru,572137,77,295
01-04-2025,Jammu and Kashmir,Kupwara,193302,180,852
01-04-2025,Madhya Pradesh,Dindori,481672,109,453
01-04-2025,Madhya Pradesh,Indore,452011,57,466
01-04-2025,Uttar Pradesh,Meerut,250401,206,1955
01-04-2025,Delhi,South West Delhi,110075,150,1213
01-04-2025,Rajasthan,Nagaur,342902,33,471
01-04-2025,Uttarakhand,Udham Singh Nagar,263160,74,644
01-04-2025,West Bengal,Uttar Dinajpur,733207,178,2853
01-04-2025,Jammu and Kashmir,Budgam,193411,296,566
01-04-2025,Maharashtra,Chandrapur,441225,31,410
01-04-2025,Karnataka,Chitradurga,577520,21,223
01-04-2025,Haryana,Rohtak,124001,386,1645
01-04-2025,West Bengal,Murshidabad,742202,185,2131
01-04-2025,Jammu and Kashmir,Kulgam,192232,43,184
01-04-2025,Karnataka,Belagavi,591317,74,192
01-04-2025,Haryana,Sonipat,131023,53,330
01-04-2025,Rajasthan,Jhunjhunun,333001,142,921
01-04-2025,Madhya Pradesh,Balaghat,481051,194,486
01-04-2025,Haryana,Karnal,132039,48,440
01-04-2025,Maharashtra,Gadchiroli,442705,23,276
01-04-2025,Tamil Nadu,Tirunelveli,627005,85,439
01-04-2025,Madhya Pradesh,Bhopal,462001,165,1349
01-04-2025,Gujarat,Rajkot,360004,180,2193
01-04-2025,Uttar Pradesh,Hardoi,241001,360,2961
01-04-2025,Tamil Nadu,Vellore,632002,62,473
01-04-2025,Delhi,North Delhi,110054,97,642
01-04-2025,Tamil Nadu,Theni,625531,100,1091
01-04-2025,Chhattisgarh,Raipur,493225,60,1451
01-04-2025,Karnataka,Bagalkot,587203,80,201
01-04-2025,Uttarakhand,Udham Singh Nagar,262405,123,1141
01-04-2025,Andhra Pradesh,West Godavari,534235,66,444
01-04-2025,Rajasthan,Nagaur,341508,190,872
01-04-2025,Maharashtra,Mumbai City,400008,49,449
01-04-2025,Uttarakhand,Dehradun,248007,124,1009
01-04-2025,Andhra Pradesh,Srikakulam,532185,95,650
01-04-2025,Gujarat,Ahmedabad,382418,169,1365
01-04-2025,Telangana,Hyderabad,500006,169,1001
01-04-2025,Haryana,Jind,126101,48,356
01-04-2025,Karnataka,Bengaluru,562125,100,577
01-04-2025,Jammu and Kashmir,Baramula,193123,86,478
01-04-2025,Haryana,Kaithal,136043,56,242
01-04-2025,Karnataka,Bengaluru,560078,143,1040
01-04-2025,Delhi,Central Delhi,110012,91,658
01-04-2025,Rajasthan,Alwar,301001,395,3025
01-04-2025,Madhya Pradesh,Sehore,466116,81,442
01-04-2025,Karnataka,Haveri,581115,185,835
01-04-2025,Delhi,West Delhi,110041,2229,7180
01-04-2025,Rajasthan,Barmer,344022,159,904
01-04-2025,Chhattisgarh,Balod,491226,74,764
01-04-2025,Madhya Pradesh,Bhopal,462022,156,1220
01-04-2025,Delhi,South West Delhi,110057,41,624
01-04-2025,Punjab,Ferozepur,142047,18,288
01-04-2025,Madhya Pradesh,Mandla,481885,243,656
01-04-2025,Uttar Pradesh,Lucknow,226017,167,1472
01-04-2025,Assam,Bongaigaon,783384,166,1519
01-04-2025,Madhya Pradesh,Sagar,470002,196,1265
01-04-2025,Punjab,Hoshiarpur,146001,92,1386
01-04-2025,Madhya Pradesh,Narsinghpur,487001,169,623
01-04-2025,Chhattisgarh,Koriya,497335,153,756
01-04-2025,Rajasthan,Bharatpur,321001,327,2151
01-04-2025,Uttar Pradesh,Bareilly,243006,132,1047
